"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"172.20.0.4",43710,"172.20.0.2",5679,14,1239,8,637,6,602,3.552553134,0.054018296999999826,94338.40537401644,89154.97650731224
"172.20.0.4",53144,"172.20.0.3",5679,14,1239,8,637,6,602,3.552553139,0.05423452200000023,93962.29213562496,88799.52883146974
"172.20.0.4",53152,"172.20.0.3",5679,11,1230,6,647,5,583,3.6500186,0.01288233399999994,401790.5450984289,362046.19442408666
"172.20.0.4",43718,"172.20.0.2",5679,11,1256,6,673,5,583,3.655610647,0.00982667699999995,547896.3030941209,474626.36657336185
"172.20.0.4",43728,"172.20.0.2",5679,28,2756,16,1459,12,1297,3.792449334,10.315048327,1131.5506849781916,1005.9090050834234
"172.20.0.4",53168,"172.20.0.3",5679,59,5611,36,3640,23,1971,3.8025635209999997,10.469850201,2781.319640773722,1506.0387395508258
"172.20.0.4",43744,"172.20.0.2",5679,14,1181,8,699,6,482,4.518303328,0.010087653000000252,554341.0345300201,382249.4687317163
"172.20.0.4",43754,"172.20.0.2",5679,27,2074,16,1301,11,773,4.52597883,14.994913788000002,694.102023336021,412.4065057945767
"172.20.0.4",53170,"172.20.0.3",5679,14,1181,8,699,6,482,5.5192408109999995,0.013566906000000323,412179.4608144161,284221.03020393214
"172.20.0.4",53176,"172.20.0.3",5679,47,3599,26,2146,21,1453,5.521845578,15.998548924999998,1073.0973215434913,726.5658938502763
"172.20.0.4",43756,"172.20.0.2",5679,14,1181,8,699,6,482,6.520888153,0.008754416000000376,638763.3395534048,440463.4186906168
"172.20.0.4",53178,"172.20.0.3",5679,14,1181,8,699,6,482,7.519119941,0.00817853000000035,683741.4547601782,471478.37080744765
"172.20.0.4",53194,"172.20.0.3",5679,51,4973,32,2901,19,2072,7.669978701,6.647519203,3491.227221957677,2493.56180761679
"172.20.0.4",43762,"172.20.0.2",5679,14,1181,8,699,6,482,8.520190896999999,0.011551805000001636,484080.19352812896,333800.6484700403
"172.20.0.4",43766,"172.20.0.2",5679,21,2034,12,1066,9,968,9.00005224,5.052484996999999,1687.8823005043357,1532.711132165288
"172.20.0.4",53196,"172.20.0.3",5679,11,856,6,482,5,374,9.040175596,0.007097021999999953,543326.4825725531,421585.2790085785
"172.20.0.4",43776,"172.20.0.2",5679,22,2096,12,1062,10,1034,9.060209286,5.0356404480000005,1687.1736748747314,1642.6907531266218
"172.20.0.4",53210,"172.20.0.3",5679,11,856,6,482,5,374,9.082129419,0.008180155999999883,471384.6533000172,365763.1957141212
"172.20.0.4",53218,"172.20.0.3",5679,14,1181,8,699,6,482,9.518176288,0.006318807000001314,884977.1800276282,610241.7750691227
"172.20.0.4",43780,"172.20.0.2",5679,14,1181,8,699,6,482,10.518596175999999,0.006344478000000819,881396.3891118036,607772.6173846772
"172.20.0.4",37028,"172.20.0.3",5679,14,1181,8,699,6,482,11.51801795,0.004880732999998472,0,0
"172.20.0.4",39076,"172.20.0.2",5679,14,1181,8,699,6,482,12.517867195000001,0.004152291999998781,0,0
"172.20.0.4",37038,"172.20.0.3",5679,14,1181,8,699,6,482,13.517983328,0.022183273999999642,252081.81623686792,173824.65726204627
"172.20.0.4",39078,"172.20.0.2",5679,14,1181,8,699,6,482,14.518301383,0.01610886199999939,347138.11565337214,239371.34727457134
"172.20.0.4",37052,"172.20.0.3",5679,14,1181,8,699,6,482,15.560560414,0.129770143,43091.5761570826,29714.076835069834
"172.20.0.4",39092,"172.20.0.2",5679,14,1181,8,699,6,482,16.518149901,0.004244283999998544,0,0
"172.20.0.4",37066,"172.20.0.3",5679,14,1181,8,699,6,482,17.517755069,0.004172858000000446,0,0
"172.20.0.4",42010,"172.20.0.5",9876,14,1478,7,751,7,727,17.612359753,1.6977906320000002,3538.71666315096,3425.6285141288254
"172.20.0.4",42016,"172.20.0.5",9876,14,1292,8,724,6,568,18.517603769,0.04826023999999762,120015.98002828592,94156.18322661106
"172.20.0.4",42028,"172.20.0.5",9876,14,1011,7,522,7,489,18.52094954,0.7892901829999985,5290.829773312926,4956.352029023028
